Exchange,Category,Type,Unit,Value
Aluminium,"('natural resource', 'in ground')",natural resource,kilogram,67.96839432776305
Antimony,"('natural resource', 'in ground')",natural resource,kilogram,9.992933394815317e-05
Arsenic,"('natural resource', 'in ground')",natural resource,kilogram,0.0008337601321778024
Boron,"('natural resource', 'in ground')",natural resource,kilogram,0.07123193006083658
Cadmium,"('natural resource', 'in ground')",natural resource,kilogram,0.000538703499137754
Cerium,"('natural resource', 'in ground')",natural resource,kilogram,0.007410201684998292
Chromium,"('natural resource', 'in ground')",natural resource,kilogram,1.2504925129956919
Cobalt,"('natural resource', 'in ground')",natural resource,kilogram,0.04413593129340952
Copper,"('natural resource', 'in ground')",natural resource,kilogram,28.02045539494835
Dysprosium,"('natural resource', 'in ground')",natural resource,kilogram,2.1358650352922273e-06
Europium,"('natural resource', 'in ground')",natural resource,kilogram,3.0313750258927483e-05
Feldspar,"('natural resource', 'in ground')",natural resource,kilogram,6.419759417980124e-06
Fluorspar,"('natural resource', 'in ground')",natural resource,kilogram,3.8490542131377214
Gadolinium,"('natural resource', 'in ground')",natural resource,kilogram,0.00010296551480271702
Gallium,"('natural resource', 'in ground')",natural resource,kilogram,0.02098883507439061
Graphite,"('natural resource', 'in ground')",natural resource,kilogram,2.059046561720458
Hafnium,"('natural resource', 'in ground')",natural resource,kilogram,0.0015041633527350395
Lanthanum,"('natural resource', 'in ground')",natural resource,kilogram,0.0035730817553748214
Lithium,"('natural resource', 'in ground')",natural resource,kilogram,0.006709101335827657
Magnesium,"('natural resource', 'in ground')",natural resource,kilogram,0.9890203395377377
Manganese,"('natural resource', 'in ground')",natural resource,kilogram,1.9251450467414384
Neodymium,"('natural resource', 'in ground')",natural resource,kilogram,0.0027021407940608267
Nickel,"('natural resource', 'in ground')",natural resource,kilogram,1.9094364652499836
Niobium,"('natural resource', 'in ground')",natural resource,kilogram,0.0008703167521378116
Palladium,"('natural resource', 'in ground')",natural resource,kilogram,4.658651091139742e-05
Phosphorus,"('natural resource', 'in ground')",natural resource,kilogram,0.3418448371445201
Platinum,"('natural resource', 'in ground')",natural resource,kilogram,3.0558855391939214e-05
Praseodymium,"('natural resource', 'in ground')",natural resource,kilogram,0.0009033452325193047
Rhodium,"('natural resource', 'in ground')",natural resource,kilogram,3.5338436412582758e-06
Samarium,"('natural resource', 'in ground')",natural resource,kilogram,0.00012566911326746403
Scandium,"('natural resource', 'in ground')",natural resource,kilogram,1.2487407705189975e-05
Selenium,"('natural resource', 'in ground')",natural resource,kilogram,0.04995636875529924
Silicon,"('natural resource', 'in ground')",natural resource,kilogram,2.1218891993991056
Silver,"('natural resource', 'in ground')",natural resource,kilogram,0.045707384959464616
Strontium,"('natural resource', 'in ground')",natural resource,kilogram,0.0011980438586554729
Tantalum,"('natural resource', 'in ground')",natural resource,kilogram,0.045029143801975834
Tellurium,"('natural resource', 'in ground')",natural resource,kilogram,0.003957318710609582
Terbium,"('natural resource', 'in ground')",natural resource,kilogram,1.2815190010743453e-06
Tin,"('natural resource', 'in ground')",natural resource,kilogram,0.20999955537719542
Titanium,"('natural resource', 'in ground')",natural resource,kilogram,0.5578018875121574
Vanadium,"('natural resource', 'in ground')",natural resource,kilogram,2.0953022320104272e-05
Yttrium,"('natural resource', 'in ground')",natural resource,kilogram,7.831505196190129e-06
Zinc,"('natural resource', 'in ground')",natural resource,kilogram,4.673707283252795
Zirconium,"('natural resource', 'in ground')",natural resource,kilogram,0.08130818028548903
