Exchange,Category,Type,Unit,Value
Aluminium,"('natural resource', 'in ground')",natural resource,kilogram,68.16228336438418
Antimony,"('natural resource', 'in ground')",natural resource,kilogram,9.95701298897833e-05
Arsenic,"('natural resource', 'in ground')",natural resource,kilogram,0.0008355653439271566
Boron,"('natural resource', 'in ground')",natural resource,kilogram,0.0713071858742541
Cadmium,"('natural resource', 'in ground')",natural resource,kilogram,0.0005417230881477632
Cerium,"('natural resource', 'in ground')",natural resource,kilogram,0.006618850141226765
Chromium,"('natural resource', 'in ground')",natural resource,kilogram,1.3141120842299578
Cobalt,"('natural resource', 'in ground')",natural resource,kilogram,0.044290875630421334
Copper,"('natural resource', 'in ground')",natural resource,kilogram,28.10881009184068
Dysprosium,"('natural resource', 'in ground')",natural resource,kilogram,2.1358580882982866e-06
Europium,"('natural resource', 'in ground')",natural resource,kilogram,2.714834154107034e-05
Feldspar,"('natural resource', 'in ground')",natural resource,kilogram,9.108911568506422e-06
Fluorspar,"('natural resource', 'in ground')",natural resource,kilogram,3.8734091673177122
Gadolinium,"('natural resource', 'in ground')",natural resource,kilogram,9.188659585507701e-05
Gallium,"('natural resource', 'in ground')",natural resource,kilogram,0.021049133343541228
Graphite,"('natural resource', 'in ground')",natural resource,kilogram,2.0630398331969046
Hafnium,"('natural resource', 'in ground')",natural resource,kilogram,0.0014914696887882945
Lanthanum,"('natural resource', 'in ground')",natural resource,kilogram,0.003209059533646529
Lithium,"('natural resource', 'in ground')",natural resource,kilogram,0.006740933897406831
Magnesium,"('natural resource', 'in ground')",natural resource,kilogram,0.995590250148631
Manganese,"('natural resource', 'in ground')",natural resource,kilogram,1.5487757613737998
Neodymium,"('natural resource', 'in ground')",natural resource,kilogram,0.0024093408626810545
Nickel,"('natural resource', 'in ground')",natural resource,kilogram,1.6419214182651223
Niobium,"('natural resource', 'in ground')",natural resource,kilogram,0.0007000545836244788
Palladium,"('natural resource', 'in ground')",natural resource,kilogram,4.719087181068809e-05
Phosphorus,"('natural resource', 'in ground')",natural resource,kilogram,0.35624827444088875
Platinum,"('natural resource', 'in ground')",natural resource,kilogram,3.089122085927132e-05
Praseodymium,"('natural resource', 'in ground')",natural resource,kilogram,0.0008052176953518527
Rhodium,"('natural resource', 'in ground')",natural resource,kilogram,3.5808121448000617e-06
Samarium,"('natural resource', 'in ground')",natural resource,kilogram,0.00011300746503922672
Scandium,"('natural resource', 'in ground')",natural resource,kilogram,1.1025520440752396e-05
Selenium,"('natural resource', 'in ground')",natural resource,kilogram,0.050105150801033754
Silicon,"('natural resource', 'in ground')",natural resource,kilogram,2.1262378597062503
Silver,"('natural resource', 'in ground')",natural resource,kilogram,0.04580981479287252
Strontium,"('natural resource', 'in ground')",natural resource,kilogram,0.0012050777253675045
Tantalum,"('natural resource', 'in ground')",natural resource,kilogram,0.04503380376815054
Tellurium,"('natural resource', 'in ground')",natural resource,kilogram,0.0039690082073314285
Terbium,"('natural resource', 'in ground')",natural resource,kilogram,1.2815148328782285e-06
Tin,"('natural resource', 'in ground')",natural resource,kilogram,0.2107243299233636
Titanium,"('natural resource', 'in ground')",natural resource,kilogram,0.5444803045382945
Vanadium,"('natural resource', 'in ground')",natural resource,kilogram,2.10704700746663e-05
Yttrium,"('natural resource', 'in ground')",natural resource,kilogram,7.831479723878274e-06
Zinc,"('natural resource', 'in ground')",natural resource,kilogram,4.700039767623967
Zirconium,"('natural resource', 'in ground')",natural resource,kilogram,0.08044335774780448
