Exchange,Category,Type,Unit,Value
Aluminium,"('natural resource', 'in ground')",natural resource,kilogram,76.6009422798885
Antimony,"('natural resource', 'in ground')",natural resource,kilogram,3.880172971646493e-05
Arsenic,"('natural resource', 'in ground')",natural resource,kilogram,0.0008804162371187766
Boron,"('natural resource', 'in ground')",natural resource,kilogram,0.07831175944684488
Cadmium,"('natural resource', 'in ground')",natural resource,kilogram,0.0007744122529422289
Cerium,"('natural resource', 'in ground')",natural resource,kilogram,0.013089425421428196
Chromium,"('natural resource', 'in ground')",natural resource,kilogram,1.447471659036027
Cobalt,"('natural resource', 'in ground')",natural resource,kilogram,0.04130250081119699
Copper,"('natural resource', 'in ground')",natural resource,kilogram,29.603839305494052
Dysprosium,"('natural resource', 'in ground')",natural resource,kilogram,3.4838562271025142e-06
Europium,"('natural resource', 'in ground')",natural resource,kilogram,5.3455355073802164e-05
Feldspar,"('natural resource', 'in ground')",natural resource,kilogram,9.31433616066759e-06
Fluorspar,"('natural resource', 'in ground')",natural resource,kilogram,6.434881350808241
Gadolinium,"('natural resource', 'in ground')",natural resource,kilogram,0.00018198407051330285
Gallium,"('natural resource', 'in ground')",natural resource,kilogram,0.02365835191989985
Graphite,"('natural resource', 'in ground')",natural resource,kilogram,3.625917589725363
Hafnium,"('natural resource', 'in ground')",natural resource,kilogram,0.0025442732588643957
Lanthanum,"('natural resource', 'in ground')",natural resource,kilogram,0.006289274137508441
Lithium,"('natural resource', 'in ground')",natural resource,kilogram,6.134721202917042e-06
Magnesium,"('natural resource', 'in ground')",natural resource,kilogram,1.2273476333204905
Manganese,"('natural resource', 'in ground')",natural resource,kilogram,3.2188014246974195
Neodymium,"('natural resource', 'in ground')",natural resource,kilogram,0.004778439789102403
Nickel,"('natural resource', 'in ground')",natural resource,kilogram,2.8778027786063105
Niobium,"('natural resource', 'in ground')",natural resource,kilogram,0.002039125280535042
Palladium,"('natural resource', 'in ground')",natural resource,kilogram,4.080307021036188e-05
Phosphorus,"('natural resource', 'in ground')",natural resource,kilogram,0.4281421824625206
Platinum,"('natural resource', 'in ground')",natural resource,kilogram,2.0407477748295422e-05
Praseodymium,"('natural resource', 'in ground')",natural resource,kilogram,0.0015977741010594186
Rhodium,"('natural resource', 'in ground')",natural resource,kilogram,2.177233050340082e-06
Samarium,"('natural resource', 'in ground')",natural resource,kilogram,0.00022102137411545258
Scandium,"('natural resource', 'in ground')",natural resource,kilogram,2.222040617022314e-05
Selenium,"('natural resource', 'in ground')",natural resource,kilogram,0.052733321871695216
Silicon,"('natural resource', 'in ground')",natural resource,kilogram,2.2553429063813946
Silver,"('natural resource', 'in ground')",natural resource,kilogram,0.07519038451332695
Strontium,"('natural resource', 'in ground')",natural resource,kilogram,0.00192310590693917
Tantalum,"('natural resource', 'in ground')",natural resource,kilogram,0.04498360255135078
Tellurium,"('natural resource', 'in ground')",natural resource,kilogram,0.004177569173482885
Terbium,"('natural resource', 'in ground')",natural resource,kilogram,2.090313703462737e-06
Tin,"('natural resource', 'in ground')",natural resource,kilogram,0.21992615684425565
Titanium,"('natural resource', 'in ground')",natural resource,kilogram,0.9779343274704891
Vanadium,"('natural resource', 'in ground')",natural resource,kilogram,3.0120979674144498e-05
Yttrium,"('natural resource', 'in ground')",natural resource,kilogram,1.277413960853917e-05
Zinc,"('natural resource', 'in ground')",natural resource,kilogram,6.703690510670188
Zirconium,"('natural resource', 'in ground')",natural resource,kilogram,0.13792668849210254
